id,binomial,replicate,included_in_lpr2024,citation,class,order,family,genus,species,subspecies,common_name,location,country,all_countries,region,ipbes_region,ipbes_subregion,latitude,longitude,specific_location,system,t_realm,t_biome,fw_realm,fw_biome,m_realm,m_ocean,m_biome,units,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,native,unnamed_102,n_obs,first_obs_year,last_obs_year,time_span,n_gaps,max_gap,continuity_ratio,zero_count,zero_share,years_since_last_obs,has_coordinates,has_country,has_valid_coordinates,has_binomial,has_class,has_order,has_family,has_genus,has_species,has_taxonomy_hierarchy,unit_category,unit_usable,system_group
111106,Petrogale_xanthopus,0,1,"TSX (2023). The Australian Threatened Species Index (2023). Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland",Mammalia,Diprotodontia,Macropodidae,Petrogale,xanthopus,,Yellow-footed Rock-wallaby,Mootwingee Downs,australia,Australia,Oceania,Asia and the Pacific,Oceania,-30.92166381,142.4356037,0,terrestrial,Australasia,Deserts and xeric shrublands,,,,,,sample: abundance (counts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,28.0,19.0,10.0,11.0,28.0,,13.0,18.0,19.0,22.0,22.0,18.0,13.0,7.0,9.0,22.0,34.0,30.0,30.0,105.0,118.5,71.5,30.0,41.5,44.5,34.5,54.5,72.5,59.0,47.0,99.0,96.5,97.0,61.0,51.0,53.5,62.5,58.0,30.0,44.0,1,,40.0,1980.0,2020.0,41.0,1.0,1.0,0.975609756097561,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
120267,Leipoa_ocellata,0,1,"TSX (2023). The Australian Threatened Species Index (2023). Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland",Aves,Galliformes,Megapodiidae,Leipoa,ocellata,,Malleefowl,South Olary Plain,australia,Australia,Oceania,Asia and the Pacific,Oceania,-33.59324,140.4231,0,terrestrial,Australasia,"Mediterranean forests, woodlands and scrub",,,,,,proxy: breeding pairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,15.0,8.0,5.0,1.0,3.0,2.0,2.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,28.0,1993.0,2020.0,28.0,0.0,0.0,1.0,15.0,0.5357142857142857,0.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
120269,Leipoa_ocellata,0,1,"TSX (2023). The Australian Threatened Species Index (2023). Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland",Aves,Galliformes,Megapodiidae,Leipoa,ocellata,,Malleefowl,South Olary Plain,australia,Australia,Oceania,Asia and the Pacific,Oceania,-33.59324,140.4231,0,terrestrial,Australasia,"Mediterranean forests, woodlands and scrub",,,,,,proxy: breeding pairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,12.0,,8.0,8.0,4.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,29.0,1990.0,2020.0,31.0,2.0,1.0,0.9354838709677419,18.0,0.6206896551724138,0.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
120294,Leipoa_ocellata,0,1,"TSX (2023). The Australian Threatened Species Index (2023). Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland",Aves,Galliformes,Megapodiidae,Leipoa,ocellata,,Malleefowl,Murray Lakes and Coorong,australia,Australia,Oceania,Asia and the Pacific,Oceania,-35.77466,139.2178,0,terrestrial,Australasia,"Mediterranean forests, woodlands and scrub",,,,,,proxy: breeding pairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,1,,24.0,1996.0,2020.0,25.0,1.0,1.0,0.96,2.0,0.08333333333333333,0.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
120302,Leipoa_ocellata,0,1,"TSX (2023). The Australian Threatened Species Index (2023). Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland",Aves,Galliformes,Megapodiidae,Leipoa,ocellata,,Malleefowl,Murray Mallee,australia,Australia,Oceania,Asia and the Pacific,Oceania,-35.18625,142.3331,0,terrestrial,Australasia,"Mediterranean forests, woodlands and scrub",,,,,,proxy: breeding pairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1,,26.0,1995.0,2020.0,26.0,0.0,0.0,1.0,11.0,0.4230769230769231,0.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
120303,Leipoa_ocellata,0,1,"TSX (2023). The Australian Threatened Species Index (2023). Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland",Aves,Galliformes,Megapodiidae,Leipoa,ocellata,,Malleefowl,Lowan Mallee,australia,Australia,Oceania,Asia and the Pacific,Oceania,-35.60728,141.5734,0,terrestrial,Australasia,"Mediterranean forests, woodlands and scrub",,,,,,proxy: breeding pairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1,,26.0,1995.0,2020.0,26.0,0.0,0.0,1.0,14.0,0.5384615384615384,0.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
120304,Leipoa_ocellata,0,1,"TSX (2023). The Australian Threatened Species Index (2023). Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland",Aves,Galliformes,Megapodiidae,Leipoa,ocellata,,Malleefowl,Lowan Mallee,australia,Australia,Oceania,Asia and the Pacific,Oceania,-35.60728,141.5734,0,terrestrial,Australasia,"Mediterranean forests, woodlands and scrub",,,,,,proxy: breeding pairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.0,6.0,9.0,1.0,12.0,10.0,8.0,3.0,2.0,1.0,2.0,2.0,3.0,5.0,4.0,2.0,3.0,8.0,6.0,4.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1,,31.0,1990.0,2020.0,31.0,0.0,0.0,1.0,3.0,0.0967741935483871,0.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
120305,Leipoa_ocellata,0,1,"TSX (2023). The Australian Threatened Species Index (2023). Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland",Aves,Galliformes,Megapodiidae,Leipoa,ocellata,,Malleefowl,Lowan Mallee,australia,Australia,Oceania,Asia and the Pacific,Oceania,-35.60728,141.5734,0,terrestrial,Australasia,"Mediterranean forests, woodlands and scrub",,,,,,proxy: breeding pairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,,28.0,1992.0,2020.0,29.0,1.0,1.0,0.9655172413793104,20.0,0.7142857142857143,0.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
120306,Leipoa_ocellata,0,1,"TSX (2023). The Australian Threatened Species Index (2023). Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland",Aves,Galliformes,Megapodiidae,Leipoa,ocellata,,Malleefowl,Lowan Mallee,australia,Australia,Oceania,Asia and the Pacific,Oceania,-35.60728,141.5734,0,terrestrial,Australasia,"Mediterranean forests, woodlands and scrub",,,,,,proxy: breeding pairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,10.0,10.0,8.0,7.0,7.0,9.0,7.0,12.0,8.0,10.0,11.0,2.0,11.0,10.0,9.0,6.0,8.0,16.0,10.0,11.0,9.0,11.0,4.0,2.0,1.0,3.0,4.0,3.0,3.0,1.0,1,,31.0,1990.0,2020.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
120307,Leipoa_ocellata,0,1,"TSX (2023). The Australian Threatened Species Index (2023). Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland",Aves,Galliformes,Megapodiidae,Leipoa,ocellata,,Malleefowl,Lowan Mallee,australia,Australia,Oceania,Asia and the Pacific,Oceania,-35.60728,141.5734,0,terrestrial,Australasia,"Mediterranean forests, woodlands and scrub",,,,,,proxy: breeding pairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,,31.0,1990.0,2020.0,31.0,0.0,0.0,1.0,11.0,0.3548387096774194,0.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
