id,binomial,replicate,included_in_lpr2024,citation,class,order,family,genus,species,subspecies,common_name,location,country,all_countries,region,ipbes_region,ipbes_subregion,latitude,longitude,specific_location,system,t_realm,t_biome,fw_realm,fw_biome,m_realm,m_ocean,m_biome,units,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,native,unnamed_102,n_obs,first_obs_year,last_obs_year,time_span,n_gaps,max_gap,continuity_ratio,zero_count,zero_share,years_since_last_obs,has_coordinates,has_country,has_valid_coordinates,has_binomial,has_class,has_order,has_family,has_genus,has_species,has_taxonomy_hierarchy,unit_category,unit_usable,system_group
5775,Oncorhynchus_kisutch,0,1,"JTC (2007). Yukon River salmon 2006 season summary and 2007 season outlook. Regional Information Report No. 3A07-01. D. o. C. F. a. O. C. Alaska Department of Fish and Game. Anchorage.| JTC (2009). Yukon River salmon 2008 season summary and 2007 season outlook. Regional Information Report No. 3A09-01. D. o. C. F. a. O. C. Alaska Department of Fish and Game. Anchorage. | JTC (Joint Technical Committee of the Yukon River U.S./Canada Panel) (2020). Yukon River salmon 2019 season summary and 2020 season outlook. Regional Information Report 3A20-01. Anchorage, Alaska, Alaska Department of Fish and Game, Division of Commercial Fisheries.",Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,,Coho salmon,"Clearwater lake and outlet, Upper tanana river drainage, Yukon, Alaska",united states,United States,North America,Americas,North America,64.085,-145.57917,1,freshwater,,,Nearctic,Polar freshwaters,,,,number of fish,,,,,,,,,,,,,,,,,,,,,,,417.0,551.0,560.0,1575.0,1500.0,730.0,570.0,1015.0,1545.0,459.0,,253.0,1368.0,750.0,1800.0,4225.0,825.0,1600.0,2375.0,3150.0,229.0,3525.0,3425.0,3625.0,1125.0,2775.0,2775.0,,1025.0,4425.0,5900.0,8800.0,2925.0,2100.0,4375.0,2075.0,1275.0,5450.0,813.0,2092.0,396.0,2221.0,434.0,1621.0,1421.0,,2465.0,258.0,,1,,45.0,1972.0,2019.0,48.0,3.0,1.0,0.9375,0.0,0.0,1.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,freshwater
5781,Oncorhynchus_keta,0,1,"JTC (2007). Yukon River salmon 2006 season summary and 2007 season outlook. Regional Information Report No. 3A07-01. D. o. C. F. a. O. C. Alaska Department of Fish and Game. Anchorage.| JTC (2009). Yukon River salmon 2008 season summary and 2007 season outlook. Regional Information Report No. 3A09-01. D. o. C. F. a. O. C. Alaska Department of Fish and Game. Anchorage. | JTC (Joint Technical Committee of the Yukon River U.S./Canada Panel) (2020). Yukon River salmon 2019 season summary and 2020 season outlook. Regional Information Report 3A20-01. Anchorage, Alaska, Alaska Department of Fish and Game, Division of Commercial Fisheries.",Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,keta,,Chum salmon,"Anvik River, Yukon river drainage, Alaska",united states,United States,North America,Americas,North America,63.38444,-160.48139,1,freshwater,,,Nearctic,Polar freshwaters,,,,number of fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277712.0,482181.0,1479582.0,444581.0,362912.0,891028.0,1080243.0,1085750.0,455876.0,1125449.0,636906.0,403627.0,847772.0,775626.0,517409.0,1124689.0,1339418.0,933240.0,605751.0,487300.0,437355.0,196350.0,224059.0,459058.0,256920.0,365354.0,525392.0,605487.0,459038.0,374933.0,193098.0,396174.0,642529.0,484091.0,577876.0,399796.0,374968.0,337821.0,415139.0,305098.0,249014.0,,1,,41.0,1979.0,2019.0,41.0,0.0,0.0,1.0,0.0,0.0,1.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,freshwater
5787,Oncorhynchus_keta,0,1,"JTC (2007). Yukon River salmon 2006 season summary and 2007 season outlook. Regional Information Report No. 3A07-01. D. o. C. F. a. O. C. Alaska Department of Fish and Game. Anchorage.| JTC (2009). Yukon River salmon 2008 season summary and 2007 season outlook. Regional Information Report No. 3A09-01. D. o. C. F. a. O. C. Alaska Department of Fish and Game. Anchorage. | JTC (Joint Technical Committee of the Yukon River U.S./Canada Panel) (2020). Yukon River salmon 2019 season summary and 2020 season outlook. Regional Information Report 3A20-01. Anchorage, Alaska, Alaska Department of Fish and Game, Division of Commercial Fisheries.",Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,keta,,Chum salmon,"Gisasa River, Yukon River drainage, Alaska",united states,United States,North America,Americas,North America,64.72833,-159.21556,1,freshwater,,,Nearctic,Polar freshwaters,,,,number of fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51116.0,136886.0,158752.0,31800.0,21142.0,10155.0,11410.0,17946.0,33481.0,25999.0,37851.0,172259.0,261306.0,46257.0,36938.0,25904.0,47669.0,95796.0,83423.0,80055.0,32523.0,42747.0,66670.0,73584.0,,,,1,,24.0,1994.0,2017.0,24.0,0.0,0.0,1.0,0.0,0.0,3.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,freshwater
5812,Oncorhynchus_tshawytscha,0,1,"JTC (2007). Yukon River salmon 2006 season summary and 2007 season outlook. Regional Information Report No. 3A07-01. D. o. C. F. a. O. C. Alaska Department of Fish and Game. Anchorage.| JTC (2009). Yukon River salmon 2008 season summary and 2007 season outlook. Regional Information Report No. 3A09-01. D. o. C. F. a. O. C. Alaska Department of Fish and Game. Anchorage. | JTC (Joint Technical Committee of the Yukon River U.S./Canada Panel) (2020). Yukon River salmon 2019 season summary and 2020 season outlook. Regional Information Report 3A20-01. Anchorage, Alaska, Alaska Department of Fish and Game, Division of Commercial Fisheries.",Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,tshawytscha,,Chinook salmon,"Salcha river, Yukon, Alaska",united states,United States,North America,Americas,North America,64.82556,-144.52472,1,freshwater,,,Nearctic,Polar freshwaters,,,,number of fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4771.0,4562.0,3294.0,10728.0,5608.0,7862.0,10007.0,18399.0,13642.0,7570.0,18514.0,5027.0,9198.0,4595.0,13328.0,4644.0,15500.0,15761.0,5988.0,10679.0,6425.0,5415.0,12774.0,6135.0,7200.0,7165.0,5465.0,,6288.0,2675.0,4195.0,4053.0,4678.0,,1,,32.0,1987.0,2019.0,33.0,1.0,1.0,0.9696969696969697,0.0,0.0,1.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,freshwater
5922,Oncorhynchus_tshawytscha,0,1,"Berkbigler, B. and K. Elkin (2006). Abundance and Run Timing of Adult Salmon in Henshaw Creek, Kanuti National Wildlife Refuge, Alaska, 2005. Alaska Fisheries Data Series Number 2006-9. U. S. F. a. W. Service. Fairbanks, Alaska, USFWS.| JTC (Joint Technical Committee of the Yukon River U.S./Canada Panel) (2020). Yukon River salmon 2019 season summary and 2020 season outlook. Regional Information Report 3A20-01. Anchorage, Alaska, Alaska Department of Fish and Game, Division of Commercial Fisheries.",Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,tshawytscha,,Chinook salmon,"Henshaw Creek, Kanuti National Wildlife Refuge, Alaska",united states,United States,North America,Americas,North America,66.6075,-152.32028,1,freshwater,,,Nearctic,Polar freshwaters,,,,number of fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.0,1103.0,649.0,763.0,1248.0,1059.0,,740.0,766.0,1637.0,857.0,1796.0,922.0,772.0,,2391.0,1354.0,677.0,,438.0,,1,,17.0,2000.0,2019.0,20.0,3.0,1.0,0.85,0.0,0.0,1.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,freshwater
5924,Oncorhynchus_keta,0,1,"Berkbigler, B. and K. Elkin (2006). Abundance and Run Timing of Adult Salmon in Henshaw Creek, Kanuti National Wildlife Refuge, Alaska, 2005. Alaska Fisheries Data Series Number 2006-9. U. S. F. a. W. Service. Fairbanks, Alaska, USFWS.| JTC (2011). Yukon River Salmon 2010 Season Summary and 2011 Season Outlook. Regional Information Report. T. U. S. a. C. Y. R. J. T. Committee, Alaska Department of Fish and Game. No. 3A11-01: 220. | JTC (Joint Technical Committee of the Yukon River U.S./Canada Panel) (2020). Yukon River salmon 2019 season summary and 2020 season outlook. Regional Information Report 3A20-01. Anchorage, Alaska, Alaska Department of Fish and Game, Division of Commercial Fisheries.",Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,keta,,Chum salmon,"Henshaw Creek, Kanuti National Wildlife Refuge, Alaska",united states,United States,North America,Americas,North America,66.6075,-152.32028,1,freshwater,,,Nearctic,Polar freshwaters,,,,number of fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24457.0,34777.0,25249.0,21400.0,86474.0,237481.0,,44425.0,96731.0,156933.0,105398.0,248247.0,292082.0,285008.0,,238529.0,286780.0,360687.0,,,,1,,16.0,2000.0,2017.0,18.0,2.0,1.0,0.8888888888888888,0.0,0.0,3.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,freshwater
7397,Glareola_pratincola,0,1,"Kayser, Y., C. Girard, et al. (2003). ""COMPTE-RENDU ORNITHOLOGIQUE CAMARGUAIS POUR LES ANNÉES 1995-2000."" Rev. Écol. (Terre Vie) 58: 5-76.| Kayser, Y., M. Gauthier-Clerc, et al. (2008). ""COMPTE RENDU ORNITHOLOGIQUE CAMARGUAIS POUR LES ANNÉES 2001-2006."" Rev. Écol. (Terre Vie) 63: 299-349.| de Seynes, A. 2009. Les oiseaux rares et menacés en France en 2008. Ornithos 16:153-184.| Quaintenne, G. 2016. Les oiseaux nicheurs rares et menacés en France en 2015. Ornithos 23:57-91.",Aves,Charadriiformes,Glareolidae,Glareola,pratincola,,Collared pratincole,Camargue,france,France,Europe,Europe and Central Asia,Central and Western Europe,43.56667,4.56667,0,freshwater,,,Palearctic,Temperate coastal rivers,,,,nests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,42.0,41.0,37.0,66.0,71.0,63.0,66.0,52.0,127.0,45.0,46.0,84.0,109.0,77.0,77.0,64.0,,,,,,1,,17.0,1999.0,2015.0,17.0,0.0,0.0,1.0,0.0,0.0,5.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,freshwater
7423,Botaurus_stellaris,1,0,"Debiesse, L., J.-L. Lucchesi, and C. Moncourtois. 2016. Plan de Gestion des Marais du Vigueirat 2016–2025: Section A. Réserve Naturelle Marais du Vigueirat.",Aves,Pelecaniformes,Ardeidae,Botaurus,stellaris,stellaris,Eurasian bittern,Vigueirat (Camargue),france,France,Europe,Europe and Central Asia,Central and Western Europe,43.56667,4.73333,0,freshwater,,,Palearctic,Temperate coastal rivers,,,,number of breeding pairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,8.0,11.0,9.0,10.0,8.0,10.0,14.0,14.0,13.0,12.0,11.0,9.0,13.0,14.0,20.0,30.0,25.0,22.0,27.0,27.0,24.0,18.0,32.0,26.0,33.0,28.0,31.0,,,,,,1,,28.0,1988.0,2015.0,28.0,0.0,0.0,1.0,0.0,0.0,5.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,freshwater
7425,Anser_anser,1,0,"Debiesse, L., J.-L. Lucchesi, and C. Moncourtois. 2016. Plan de Gestion des Marais du Vigueirat 2016–2025: Section A. Réserve Naturelle Marais du Vigueirat.",Aves,Anseriformes,Anatidae,Anser,anser,,Greylag goose,Vigueirat (Camargue),france,France,Europe,Europe and Central Asia,Central and Western Europe,43.56667,4.73333,0,freshwater,,,Palearctic,Temperate coastal rivers,,,,number of breeding pairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,4.0,3.0,5.0,8.0,10.0,9.0,10.0,13.0,15.0,18.0,24.0,,,17.0,,18.0,21.0,18.0,20.0,19.0,,17.0,,,,,,1,,21.0,1991.0,2015.0,25.0,3.0,2.0,0.84,0.0,0.0,5.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,freshwater
19121,Pygoscelis_adeliae,0,1,"Dunn, M. J., J. A. Jackson, S. Adlard, A. S. Lynnes, D. R. Briggs, D. Fox and C. M. Waluda (2016). ""Population size and decadal trends of three penguin species nesting at Signy Island, South Orkney Islands."" PLoS One 11(10): e0164025.",Aves,Sphenisciformes,Spheniscidae,Pygoscelis,adeliae,,Adelie penguin,"Signy Island, South Orkney Islands",antarctica,Antarctica,Antarctic,Antarctica,Antarctica,-60.722361,-45.631602,1,marine,,,,,South temperate and Antarctic,Southern Ocean,,breeding pairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1873.0,2269.0,1726.0,1831.0,2631.0,2334.0,2464.0,2787.0,3055.0,3063.0,3395.0,2904.0,2012.0,2496.0,2546.0,2725.0,2074.0,2417.0,2676.0,,2688.0,1313.0,1939.0,1888.0,2337.0,1533.0,1560.0,1601.0,1690.0,1299.0,1474.0,901.0,,1659.0,1040.0,1731.0,1873.0,2212.0,,,,,,1,,36.0,1978.0,2015.0,38.0,2.0,1.0,0.9473684210526315,0.0,0.0,5.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,marine
